Index, plane_x, plane_y, Heading, airport_x, airport_y
1,1,9,N,15,8
2,1,8,N,15,8
3,2,8,E,15,8
4,3,8,E,15,8
5,4,8,E,15,8
6,5,8,E,15,8
7,6,8,E,15,8
8,7,8,E,15,8
9,8,8,E,15,8
10,8,7,N,15,8
11,8,6,N,15,8
12,8,5,N,15,8
13,9,5,E,15,8
14,10,5,E,15,8
15,11,5,E,15,8
16,12,5,E,15,8
17,13,5,E,15,8
18,14,5,E,15,8
19,15,5,E,15,8
20,15,6,S,15,8
21,15,7,S,15,8
22,15,8,S,15,8
